,City,Country,Latitude,Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (MPH)
46,Hofn,IS,64.25,45.59,87,100,13.91
47,Pangody,RU,65.85,38.03,97,100,19.48
48,Lebu,CL,-37.62,54.03,91,93,1.54
49,Itarema,BR,-2.92,76.71,84,4,2.37
50,Port Alfred,ZA,-33.59,62.01,85,0,5.01
51,Hermanus,ZA,-34.42,63.0,62,88,4.12
52,Celestún,MX,20.87,82.02,78,0,16.04
53,Pirmasens,DE,49.2,49.48,100,1,2.15
54,Ponta do Sol,PT,32.67,57.0,63,4,6.62
55,Rocha,UY,-34.48,59.16,93,0,6.49
56,Saint George,US,37.1,67.12,21,1,12.75
57,Rikitea,PF,-23.12,77.45,69,71,7.36
58,Bacolod City,PH,10.67,91.62,48,8,7.14
59,São Filipe,CV,14.9,71.11,73,11,17.74
60,Tupiza,BO,-21.45,53.04,25,6,4.05
61,Busselton,AU,-33.65,62.62,82,43,21.72
62,Talaya,RU,61.38,1.35,81,100,15.19
63,Vaini,TO,-21.2,82.4,74,40,9.17
64,Kapaa,US,22.08,78.46,65,1,9.17
65,Tasiilaq,GL,65.61,32.0,97,99,20.8
66,Severo-Kuril'sk,RU,50.68,33.4,92,81,17.72
67,Torbay,CA,47.67,29.43,58,5,10.29
68,Ust-Kuyga,RU,70.02,8.01,87,100,5.46
69,Vernon,CA,50.26,46.71,64,8,2.04
70,Aykhal,RU,66.0,15.8,40,0,4.47
71,Ponta do Sol,PT,32.67,57.0,63,9,4.54
72,Gamba,GA,-2.65,78.03,87,90,1.21
73,Hithadhoo,MV,-0.6,83.95,74,68,11.1
74,Anadyr,RU,64.75,14.0,85,90,38.03
75,Haines Junction,CA,60.75,46.89,48,1,1.1
76,Fortuna,US,40.6,55.47,71,90,8.05
77,Vila Franca do Campo,PT,37.72,62.6,93,75,11.41
78,Hithadhoo,MV,-0.6,83.95,74,68,11.1
79,Port Moresby,PG,-9.44,87.8,70,40,9.17
80,Hermanus,ZA,-34.42,63.0,62,88,4.12
81,Iqaluit,CA,63.75,-2.09,70,20,5.82
82,Kitimat,CA,54.05,65.41,34,20,10.29
83,The Valley,AI,18.22,79.86,74,20,9.17
84,Ushuaia,AR,-54.8,48.2,57,40,8.05
85,Winchester,GB,51.07,47.14,87,31,4.7
86,Guadalupe y Calvo,MX,26.1,47.26,44,0,4.81
87,Asău,RO,46.43,40.73,60,90,2.24
88,Leningradskiy,RU,69.38,8.6,89,16,8.63
89,Cape Town,ZA,-33.93,57.2,76,77,2.24
90,Hermanus,ZA,-34.42,63.0,62,88,4.12
91,Dikson,RU,73.51,35.33,92,100,21.63
92,Kaitangata,NZ,-46.28,57.99,48,74,7.0
93,Albany,US,42.6,41.52,45,76,1.01
94,Hilo,US,19.73,75.69,54,40,10.29
95,Harper,LR,4.38,79.81,84,100,8.3
96,Clyde River,CA,70.47,8.6,78,90,10.29
97,Lebu,CL,-37.62,54.03,91,93,1.54
98,Hegra,NO,63.46,36.14,100,86,2.24
99,Manokwari,ID,-0.87,85.68,65,98,3.56
100,Chaozhou,CN,23.67,78.8,74,40,6.71
101,New Norfolk,AU,-42.78,54.88,79,88,1.88
102,Chepo,PA,9.17,84.2,62,20,10.29
103,Zhengjiatun,CN,43.51,64.22,27,100,18.9
104,Pyapon,MM,16.28,90.01,43,0,6.4
105,Eresós,GR,39.17,55.4,71,4,3.36
106,Lebu,CL,-37.62,54.03,91,93,1.54
107,Esperance,AU,-33.87,62.6,82,75,21.92
108,Grindavik,IS,63.84,36.01,100,90,5.82
109,Punta Arenas,CL,-53.15,46.2,65,40,17.22
110,Māngrol,IN,21.12,83.17,55,80,9.69
111,Pevek,RU,69.7,5.32,92,45,6.51
112,Albany,US,42.6,41.52,45,76,1.01
113,Yellowknife,CA,62.46,29.55,92,75,4.7
114,Kautokeino,NO,69.01,33.17,80,96,10.0
115,Dingle,PH,11.0,89.29,53,25,12.3
116,Kaka,TM,37.35,65.73,36,0,4.83
117,Paamiut,GL,61.99,25.56,88,97,8.5
118,Beringovskiy,RU,63.05,21.36,97,100,17.0
119,Namie,JP,37.48,51.19,85,92,5.01
120,Cidreira,BR,-30.18,66.92,84,0,13.11
121,Kapaa,US,22.08,78.46,65,1,9.17
122,Walvis Bay,NA,-22.96,55.67,93,2,2.24
123,Măgureni,RO,45.07,43.0,89,64,2.21
124,Avarua,CK,-21.21,82.4,69,79,6.93
125,Bredasdorp,ZA,-34.53,48.2,93,94,5.82
126,Bambanglipuro,ID,-7.95,85.6,66,96,2.53
127,Jamestown,US,42.1,40.82,55,1,3.36
128,Hobart,AU,-42.88,55.8,66,75,4.7
129,Sur,OM,22.57,84.52,41,33,7.09
130,Tuktoyaktuk,CA,69.45,10.4,85,75,8.05
131,Butaritari,KI,3.07,83.1,79,100,16.6
132,Hermanus,ZA,-34.42,63.0,62,88,4.12
133,Bowen,AU,-20.02,87.26,66,40,12.75
134,Atuona,PF,-9.8,82.17,71,94,17.22
135,Torbay,CA,47.67,29.43,58,5,10.29
136,Jamestown,US,42.1,40.82,55,1,3.36
137,Mataura,NZ,-46.19,55.0,66,64,13.0
138,Busselton,AU,-33.65,62.58,83,80,22.12
139,Srednekolymsk,RU,67.45,8.33,90,86,12.62
140,Gáldar,ES,28.15,62.29,77,20,16.11
141,Avarua,CK,-21.21,82.4,69,79,6.93
142,Port Elizabeth,ZA,-33.92,59.0,100,0,2.24
143,Kalabo,ZM,-14.97,64.85,61,75,5.95
144,Ilulissat,GL,69.22,24.8,62,100,18.34
145,Hilo,US,19.73,75.69,54,40,10.29
146,Bengkulu,ID,-3.8,84.7,67,72,1.03
147,Tiksi,RU,71.69,10.29,85,68,3.94
148,Rikitea,PF,-23.12,77.45,69,71,7.36
149,Ushuaia,AR,-54.8,48.2,57,40,8.05
150,Ushuaia,AR,-54.8,48.2,57,40,8.05
151,Albany,US,42.6,41.02,45,1,1.01
152,Mataura,NZ,-46.19,55.0,66,64,13.0
153,Punta Arenas,CL,-53.15,46.2,65,40,17.22
154,Liku,ID,-0.73,88.11,58,39,0.89
155,Bredasdorp,ZA,-34.53,48.2,93,84,5.82
156,Ushuaia,AR,-54.8,48.2,57,40,8.05
157,Tasiilaq,GL,65.61,32.0,97,100,20.8
158,Moram,IN,17.8,91.26,24,11,4.41
159,Moerai,PF,-22.43,80.8,76,37,9.35
160,Plettenberg Bay,ZA,-34.05,72.43,33,71,7.7
161,Rikitea,PF,-23.12,77.45,69,71,7.36
162,Faanui,PF,-16.48,83.12,72,71,11.77
163,Arraial do Cabo,BR,-22.97,73.81,68,99,6.64
164,Naze,JP,28.37,74.32,78,75,16.11
165,Ambilobe,MG,-13.2,70.12,75,16,3.74
166,Tasiilaq,GL,65.61,32.0,97,100,20.8
167,Porto Belo,BR,-27.16,66.99,83,24,5.57
168,Rikitea,PF,-23.12,77.45,69,71,7.36
169,Bluff,NZ,-46.6,55.0,66,98,13.0
170,Thompson,CA,55.74,15.8,40,20,10.29
171,Kapaa,US,22.08,78.46,65,1,9.17
172,Mataura,NZ,-46.19,55.0,66,64,13.0
173,Praia da Vitória,PT,38.73,62.6,88,40,18.9
174,Province of Mantua,IT,45.17,54.77,76,52,0.47
175,Kavieng,PG,-2.57,83.8,72,86,4.0
176,Kalevala,RU,65.2,26.29,96,17,4.85
177,Ushuaia,AR,-54.8,48.2,57,40,8.05
178,Zhigansk,RU,66.77,12.54,92,39,12.5
179,Vostok,RU,46.49,56.32,30,2,8.7
180,Puerto Ayora,EC,-0.74,80.87,74,75,9.17
181,Vitim,RU,59.45,24.31,84,99,7.47
182,Otavi,NA,-19.65,66.25,42,6,6.35
183,Bethel,US,41.37,35.38,80,1,3.36
184,Bruneck,IT,46.8,49.73,47,86,3.56
185,Aklavik,CA,68.22,23.0,67,90,9.17
186,Mataura,NZ,-46.19,55.0,66,64,13.0
187,Iqaluit,CA,63.75,-2.09,70,20,5.82
188,Algodones,MX,20.39,74.57,78,75,5.82
189,Avarua,CK,-21.21,82.4,69,75,6.93
190,Bluff,NZ,-46.6,55.0,66,98,13.0
191,Dikson,RU,73.51,35.33,92,100,21.63
192,Koutiala,ML,12.39,92.07,30,100,13.33
193,Cap Malheureux,MU,-19.98,76.35,78,75,13.87
194,Cape Town,ZA,-33.93,57.2,76,94,2.24
195,Saint Paul Harbor,US,57.79,46.4,75,40,12.75
196,Provideniya,RU,64.38,23.09,95,100,13.85
197,Sajanan,TN,37.06,64.51,93,93,4.7
198,Katete,UG,-0.78,63.95,63,97,4.21
199,Port Alfred,ZA,-33.59,62.01,85,0,5.01
200,Il’inskiy,RU,55.62,34.84,89,40,6.71
201,Craig,US,40.52,41.29,70,75,9.17
202,Al Bardīyah,LY,31.76,56.61,80,0,4.12
203,George Town,MY,5.41,83.91,88,20,5.82
204,Tiznit Province,MA,29.58,55.99,74,84,15.14
205,Yellowknife,CA,62.46,29.53,92,75,4.7
206,Ucluelet,CA,48.93,53.49,81,75,9.17
207,Ilulissat,GL,69.22,24.8,62,100,18.34
208,Ushuaia,AR,-54.8,48.2,57,40,8.05
209,Souillac,MU,-20.52,76.53,78,75,13.87
210,Rikitea,PF,-23.12,77.45,69,71,7.36
211,Port Elizabeth,ZA,-33.92,59.0,100,0,2.24
212,Santander Jiménez,MX,24.22,79.12,77,6,9.6
213,Jamestown,US,42.1,40.82,55,1,3.36
214,Kapaa,US,22.08,78.46,65,1,9.17
215,Lebu,CL,-37.62,54.03,91,93,1.54
216,Albany,US,42.6,41.52,45,76,1.01
217,Manzhouli,CN,49.6,38.62,46,80,14.9
218,Puerto Ayora,EC,-0.74,80.87,74,75,9.17
219,Shenzhen,CN,22.55,75.54,77,93,3.47
220,Jamestown,US,42.1,40.82,55,1,3.36
221,Punta Arenas,CL,-53.15,46.2,65,40,17.22
222,Jamestown,US,42.1,40.82,55,1,3.36
223,Tuatapere,NZ,-46.13,55.0,66,83,13.0
224,Okha,RU,53.57,27.19,90,96,8.03
225,Tuatapere,NZ,-46.13,55.0,66,83,13.0
226,Punta Arenas,CL,-53.15,46.2,65,40,17.22
227,Ampanihy,MG,-24.7,66.85,81,0,4.7
228,Christchurch,NZ,-43.53,64.51,39,0,20.8
229,Lorengau,PG,-2.02,84.54,72,5,1.52
230,Galle,LK,6.04,84.36,74,0,7.96
231,Broken Hill,AU,-31.95,64.4,48,0,5.82
232,Qaanaaq,GL,77.48,18.7,86,100,15.77
233,New Norfolk,AU,-42.78,54.88,79,88,1.88
234,Mataura,NZ,-46.19,55.0,66,64,13.0
235,Severo-Kuril'sk,RU,50.68,33.4,92,81,17.72
236,Laguna,US,38.42,64.53,52,1,10.29
237,Nhulunbuy,AU,-12.23,86.0,74,75,6.93
238,Lucapa,AO,-8.42,64.92,75,96,1.66
239,Kota Kinabalu,MY,5.97,84.11,74,20,2.24
240,Kiryat Gat,IL,31.61,59.95,76,0,3.94
241,Port Elizabeth,ZA,-33.92,59.0,100,0,2.24
242,Albany,US,42.6,41.52,45,76,1.01
243,Port Blair,IN,11.67,83.79,73,11,6.13
244,Thompson,CA,55.74,15.8,40,20,10.29
245,Tiksi,RU,71.69,15.01,85,95,4.59
246,Busselton,AU,-33.65,62.58,83,80,22.12
247,Ushuaia,AR,-54.8,48.2,57,40,8.05
248,Hithadhoo,MV,-0.6,83.95,74,68,11.1
249,Andenes,NO,69.31,37.35,100,100,19.46
250,Saint George,US,37.1,67.46,27,1,12.75
251,Vieste,IT,41.88,61.14,63,98,1.01
252,Dikson,RU,73.51,35.33,92,100,21.63
253,Rikitea,PF,-23.12,77.45,69,71,7.36
254,Bethel,US,41.37,35.38,80,1,3.36
255,Maniitsoq,GL,65.42,25.14,90,100,19.28
256,Balkhash,KZ,46.84,57.51,33,0,9.42
257,Kumul,CN,42.8,66.96,18,81,14.12
258,Tazovsky,RU,67.47,35.8,98,100,20.54
259,Ushuaia,AR,-54.8,48.2,57,40,8.05
260,Fethiye,TR,36.62,51.8,100,0,4.7
261,Tuatapere,NZ,-46.13,55.0,66,83,13.0
262,Atuona,PF,-9.8,82.17,71,94,17.22
263,New Norfolk,AU,-42.78,54.88,79,88,1.88
264,Lorengau,PG,-2.02,84.54,72,5,1.52
265,Nishihara,JP,26.18,76.12,83,75,10.29
266,Cidreira,BR,-30.18,66.92,84,0,13.11
267,Andenes,NO,69.31,37.35,100,100,19.46
268,Rolla,US,37.95,52.77,37,1,9.17
269,Aleksandrov Gay,RU,50.15,42.15,72,54,2.75
270,Airai,TL,-8.93,73.45,43,38,4.61
271,Thompson,CA,55.74,15.8,40,20,10.29
272,Ushuaia,AR,-54.8,48.2,57,40,8.05
273,San Joaquin,VE,10.26,74.35,71,30,5.77
274,Ushuaia,AR,-54.8,48.2,57,40,8.05
275,Arlit,NE,18.74,81.39,12,0,7.2
276,Busselton,AU,-33.65,62.58,83,80,22.12
277,Kelowna,CA,49.88,58.96,38,1,6.93
278,Sola,VU,-13.88,87.8,74,75,4.7
279,Jablah,SY,35.36,59.0,72,65,4.7
280,Mataura,NZ,-46.19,55.0,66,64,13.0
281,Rikitea,PF,-23.12,77.45,69,71,7.36
282,Kjøllefjord,NO,70.95,38.61,90,100,13.69
283,Tuktoyaktuk,CA,69.45,10.4,85,75,8.05
284,Rikitea,PF,-23.12,77.45,69,71,7.36
285,Punta Arenas,CL,-53.15,46.2,65,40,17.22
286,Ponta do Sol,PT,32.67,57.0,63,4,6.62
287,Puerto Ayora,EC,-0.74,80.83,74,75,9.17
288,Bengkulu,ID,-3.8,84.7,67,72,1.03
289,Hilo,US,19.73,75.67,54,40,10.29
290,Busselton,AU,-33.65,62.62,82,43,21.72
291,Nushki,PK,29.55,71.87,19,1,3.24
292,Hobart,AU,-42.88,55.8,66,75,4.7
293,Aracataca,CO,10.59,80.65,62,24,1.5
294,Rikitea,PF,-23.12,77.45,69,71,7.36
295,Carnarvon,AU,-24.87,77.0,69,3,13.87
296,Tezu,IN,27.92,71.2,67,98,3.87
297,Barrow,US,71.29,8.6,71,1,12.75
298,Broken Hill,AU,-31.95,64.4,48,0,5.82
299,Kaitangata,NZ,-46.28,57.99,48,74,7.0
300,Kapaa,US,22.08,78.46,65,1,9.17
301,Kharp,RU,66.8,33.1,91,100,3.13
302,Sampit,ID,-2.53,78.4,95,100,1.45
303,Butaritari,KI,3.07,83.1,79,100,16.6
304,Kaitangata,NZ,-46.28,57.99,48,74,7.0
305,Cidreira,BR,-30.18,66.92,84,0,13.11
306,Alugan,PH,12.22,83.73,72,26,11.56
307,Mataura,NZ,-46.19,55.0,66,64,13.0
308,Bluff,NZ,-46.6,55.0,66,98,13.0
309,Rikitea,PF,-23.12,77.45,69,71,7.36
310,Ushuaia,AR,-54.8,48.2,57,40,8.05
311,Mataura,NZ,-46.19,55.0,66,64,13.0
312,Los Chiles,CR,11.03,72.0,76,99,14.0
313,Hasaki,JP,35.73,65.44,45,20,10.29
314,Aracaju,BR,-10.91,80.6,83,40,3.36
315,Cape Town,ZA,-33.93,57.2,76,77,2.24
316,Ushuaia,AR,-54.8,48.2,57,40,8.05
317,Gao,ML,16.64,82.15,12,32,7.43
318,Mataura,NZ,-46.19,55.0,66,64,13.0
319,Hilo,US,19.73,75.69,54,40,10.29
320,Puerto Ayora,EC,-0.74,80.87,74,75,9.17
321,Carnarvon,AU,-24.87,77.0,69,3,13.87
322,Ushuaia,AR,-54.8,48.2,57,40,8.05
323,Dikson,RU,73.51,35.33,92,100,21.63
324,Hobart,AU,-42.88,55.8,66,75,4.7
325,Port Alfred,ZA,-33.59,62.01,85,0,5.01
326,Sambava,MG,-14.27,73.36,81,69,9.46
327,Tuktoyaktuk,CA,69.45,10.4,85,75,8.05
328,Hobart,AU,-42.88,55.8,66,75,4.7
329,Kokkola,FI,63.84,31.26,92,77,6.93
330,Nautla,MX,20.22,79.84,87,99,7.63
331,Sydney,AU,-33.87,67.57,72,40,13.87
332,Upernavik,GL,72.79,21.47,91,100,10.25
333,Marystown,CA,47.17,30.42,95,100,5.93
334,Norman Wells,CA,65.28,37.4,86,90,14.99
335,Rikitea,PF,-23.12,77.45,69,71,7.36
336,Vao,NC,-22.67,76.91,70,3,8.66
337,Seoul,KR,37.57,59.54,58,75,8.75
338,Klaksvík,FO,62.23,42.8,75,0,10.29
339,Adré,TD,13.47,69.75,18,0,12.06
340,Albany,US,42.6,41.52,45,76,1.01
341,Bartica,GY,6.4,78.8,94,20,9.17
342,Dunedin,NZ,-45.87,56.05,59,5,19.17
343,Fernandina Beach,US,30.67,75.02,94,40,6.93
344,Bredasdorp,ZA,-34.53,48.2,93,94,5.82
345,Kapaa,US,22.08,78.46,65,1,9.17
346,Dikson,RU,73.51,35.33,92,100,21.63
347,Atuona,PF,-9.8,82.17,71,94,17.22
348,Bethel,US,41.37,35.38,80,1,3.36
349,Airai,TL,-8.93,73.45,43,38,4.61
350,Barrow,US,71.29,8.6,71,1,12.75
351,Avarua,CK,-21.21,82.4,69,79,6.93
352,Rikitea,PF,-23.12,77.45,69,71,7.36
353,Barrow,US,71.29,8.6,71,1,12.75
354,East London,ZA,-33.02,67.35,60,0,12.44
355,Punta Arenas,CL,-53.15,46.2,65,40,17.22
356,Zyryanskoye,RU,56.83,47.14,59,13,13.65
357,Kloulklubed,PW,7.04,80.6,88,75,9.17
358,Port Pirie,AU,-33.18,68.0,60,16,9.17
359,Rikitea,PF,-23.12,77.45,69,71,7.36
360,Kapaa,US,22.08,78.46,65,1,9.17
361,Punta Arenas,CL,-53.15,46.2,65,40,17.22
362,Hobart,AU,-42.88,55.8,66,75,4.7
363,Ushuaia,AR,-54.8,48.2,57,40,8.05
364,Bud,US,39.45,46.6,78,1,6.93
365,Tautira,PF,-17.73,86.0,70,66,4.7
366,Shuangyang,CN,43.52,59.0,26,100,13.42
367,Rikitea,PF,-23.12,77.45,69,71,7.36
368,New Norfolk,AU,-42.78,54.88,79,88,1.88
369,Port Alfred,ZA,-33.59,62.01,85,0,5.01
370,Northam,GB,51.03,49.98,95,58,3.0
371,Vila Franca do Campo,PT,37.72,62.6,93,75,11.41
372,Eloy,US,32.76,74.34,23,1,16.11
373,Arraial do Cabo,BR,-22.97,73.81,68,99,6.64
374,Kruisfontein,ZA,-34.0,65.25,35,1,7.34
375,Dunedin,NZ,-45.87,56.05,59,5,19.17
376,Butaritari,KI,3.07,83.17,79,100,16.71
377,Half Moon Bay,US,37.46,59.14,71,90,8.05
378,Rikitea,PF,-23.12,77.45,69,71,7.36
379,São José da Coroa Grande,BR,-8.9,80.4,79,100,4.99
380,Omboué,GA,-1.57,78.39,87,41,2.1
381,Thompson,CA,55.74,15.8,40,20,10.29
382,Ketchikan,US,55.34,57.9,50,1,17.22
383,Butaritari,KI,3.07,83.1,79,100,16.6
384,Mataura,NZ,-46.19,55.0,66,64,13.0
385,Port Shepstone,ZA,-30.74,68.79,84,0,14.67
386,Yellowknife,CA,62.46,29.55,92,75,4.7
387,Ushuaia,AR,-54.8,48.2,57,40,8.05
388,Albany,US,42.6,41.52,45,76,1.01
389,Camalú,MX,30.85,60.01,54,10,10.0
390,Menongue,AO,-14.66,61.97,60,99,3.06
391,Cabo San Lucas,MX,22.89,70.36,68,5,13.87
392,Blagoyevo,RU,63.37,34.07,94,100,3.15
393,Cockburn Town,TC,21.46,78.35,82,23,14.29
394,Lüderitz,NA,-26.65,59.0,93,10,8.05
395,Namwala,ZM,-15.75,62.13,63,67,3.8
396,Mataura,NZ,-46.19,55.0,66,64,13.0
397,Longyearbyen,SJ,78.22,24.8,85,20,8.05
398,Hilo,US,19.73,75.69,54,40,10.29
399,Bredasdorp,ZA,-34.53,48.2,93,94,5.82
400,Palmares do Sul,BR,-30.26,64.18,87,0,7.81
401,Bilibino,RU,68.05,10.71,80,49,6.22
402,Morondava,MG,-20.28,74.86,77,0,7.09
403,Half Moon Bay,US,37.46,59.2,71,90,8.05
404,Beyneu,KZ,45.32,61.14,33,99,12.12
405,Khovd,MN,48.01,40.06,33,0,3.96
406,Ancud,CL,-41.87,51.8,93,75,8.05
407,Rikitea,PF,-23.12,77.45,69,71,7.36
408,Mataura,NZ,-46.19,55.0,66,64,13.0
409,Puerto Carreño,CO,6.19,79.25,77,100,9.15
410,Hasaki,JP,35.73,65.44,45,20,10.29
411,Cherskiy,RU,68.75,9.97,91,0,12.28
412,West Odessa,US,31.84,73.4,35,1,5.82
413,Primero de Enero,CU,21.95,78.8,83,3,6.93
414,Rikitea,PF,-23.12,77.45,69,71,7.36
415,Bethel,US,41.37,35.38,80,1,3.36
416,Taman',RU,45.21,42.4,87,50,4.47
417,Dhidhdhoo,MV,6.88,86.02,73,5,11.56
418,Khasan,RU,42.43,51.66,52,100,13.2
419,La Sarre,CA,48.8,34.5,84,100,13.8
420,Petropavlovsk-Kamchatskiy,RU,53.05,42.8,52,20,22.37
421,Tuktoyaktuk,CA,69.45,10.4,85,75,8.05
422,Sarakhs,IR,36.54,55.4,82,18,2.24
423,Matara,LK,5.95,85.24,70,1,6.04
424,Pangnirtung,CA,66.15,2.21,83,99,4.32
425,Opuwo,NA,-18.06,67.66,48,86,3.09
426,Lingao,CN,19.91,82.35,63,2,3.22
427,Arraial do Cabo,BR,-22.97,73.81,68,99,6.64
428,Port Shepstone,ZA,-30.74,68.79,84,0,14.67
429,Albany,US,42.6,41.05,44,1,1.01
430,Basco,PH,20.45,79.92,87,54,15.41
431,Kruisfontein,ZA,-34.0,65.25,35,1,7.34
432,Katsuura,JP,35.13,66.0,49,0,14.32
433,Cherskiy,RU,68.75,9.97,91,0,12.28
434,Lebu,CL,-37.62,54.03,91,93,1.54
435,Vaini,TO,-21.2,82.4,74,40,9.17
436,East London,ZA,-33.02,68.09,61,0,14.14
437,Mataura,NZ,-46.19,55.0,66,64,13.0
438,Tasiilaq,GL,65.61,32.0,97,99,20.8
439,Jinchang,CN,38.5,60.01,17,15,15.97
440,Jamestown,US,42.1,40.82,55,1,3.36
441,Saldanha,ZA,-33.01,59.0,62,100,4.7
442,Mataura,NZ,-46.19,55.0,66,64,13.0
443,Ayan,RU,56.45,22.62,79,100,4.14
444,Busselton,AU,-33.65,62.58,83,80,22.12
445,Qaanaaq,GL,77.48,18.7,86,100,15.77
446,Rikitea,PF,-23.12,77.45,69,71,7.36
447,Yellowknife,CA,62.46,29.55,92,75,4.7
448,Yertarskiy,RU,56.79,42.78,62,63,6.55
449,Ushuaia,AR,-54.8,48.2,57,40,8.05
450,Mataura,NZ,-46.19,55.0,66,64,13.0
451,Sangar,RU,63.92,18.84,78,5,2.73
452,Kushiro,JP,42.98,50.0,53,75,13.87
453,Ushuaia,AR,-54.8,48.2,57,40,8.05
454,Bethel,US,41.37,35.38,80,1,3.36
455,Naze,JP,28.37,74.32,78,75,16.11
456,Opuwo,NA,-18.06,67.66,48,86,3.09
457,Puri,IN,19.8,77.0,78,75,9.17
458,Tevriz,RU,57.51,52.63,64,82,6.46
459,Pochutla,MX,15.74,84.0,69,19,5.14
460,Clyde River,CA,70.47,8.6,78,90,10.29
461,Busselton,AU,-33.65,62.58,83,80,22.12
462,Busselton,AU,-33.65,62.58,83,80,22.12
463,Mīrābād,AF,30.44,67.73,44,78,9.53
464,Saint George,US,37.1,67.46,27,1,12.75
465,Alta Floresta,BR,-9.88,70.59,89,0,3.47
466,Hithadhoo,MV,-0.6,83.95,74,68,11.1
467,Port Alfred,ZA,-33.59,62.01,85,0,5.01
468,Saskylakh,RU,71.92,19.65,88,0,7.0
469,Hobart,AU,-42.88,55.8,66,75,4.7
470,Feltre,IT,46.02,48.65,83,80,2.26
471,Jamestown,US,42.1,40.8,55,1,3.36
472,Mthatha,ZA,-31.59,55.4,93,0,2.24
473,Havøysund,NO,71.0,35.6,93,85,27.51
474,Klyuchi,RU,52.27,56.97,49,5,3.78
475,Torbay,CA,47.67,29.28,58,5,10.29
476,Bluff,NZ,-46.6,55.0,66,98,13.0
477,Vuktyl,RU,63.86,33.6,94,99,2.8
478,Saint George,US,37.1,67.12,21,1,12.75
479,Thompson,CA,55.74,15.8,40,20,10.29
480,Vardø,NO,70.37,36.18,83,100,15.28
481,Rikitea,PF,-23.12,77.45,69,71,7.36
482,Mataura,NZ,-46.19,55.0,66,64,13.0
483,Qasigiannguit,GL,68.82,24.8,62,97,18.34
484,Busselton,AU,-33.65,63.48,79,43,21.72
485,Gazojak,TM,41.19,68.16,28,0,6.13
486,Rikitea,PF,-23.12,77.63,69,60,8.28
487,Gushikawa,JP,26.35,75.85,83,75,13.87
488,Jalu,LY,29.03,62.76,45,3,7.56
489,Rikitea,PF,-23.12,77.63,69,60,8.28
490,Albany,US,42.6,41.52,45,76,1.01
491,Piopio,NZ,-38.47,63.05,63,100,6.24
492,Faanui,PF,-16.48,83.12,72,71,11.77
493,Haines Junction,CA,60.75,46.89,48,1,1.1
494,George Town,MY,5.41,83.91,88,20,5.82
495,Hithadhoo,MV,-0.6,83.95,74,68,11.1
496,Acarí,PE,-15.43,72.3,60,7,3.83
497,Dīglūr,IN,18.55,96.06,19,4,7.78
498,Flinders,AU,-34.58,69.01,66,38,1.01
499,Jardim,BR,-21.48,64.56,67,1,3.02
